,frame_rate,time_stamp
0,0,19:00:18
1,0,19:00:18
2,58,19:00:19
3,43,19:00:19
4,25,19:00:19
5,159,19:00:20
6,43,19:00:20
7,43,19:00:21
8,43,19:00:21
9,44,19:00:22
10,43,19:00:22
11,42,19:00:23
12,44,19:00:23
13,43,19:00:24
14,43,19:00:24
15,42,19:00:25
16,43,19:00:25
17,43,19:00:25
18,44,19:00:26
19,43,19:00:26
20,44,19:00:27
21,43,19:00:27
22,43,19:00:28
23,44,19:00:28
24,43,19:00:29
25,43,19:00:29
26,43,19:00:30
27,44,19:00:30
28,43,19:00:31
29,43,19:00:31
30,43,19:00:32
31,42,19:00:32
32,43,19:00:32
33,43,19:00:33
34,43,19:00:33
35,42,19:00:34
36,44,19:00:34
37,43,19:00:35
38,43,19:00:35
39,43,19:00:36
40,42,19:00:36
41,43,19:00:37
42,43,19:00:37
43,44,19:00:38
44,42,19:00:38
45,43,19:00:38
46,43,19:00:39
47,43,19:00:39
48,43,19:00:40
49,43,19:00:40
50,44,19:00:41
51,42,19:00:41
