,frame_rate,time_stamp
0,0,16:36:12
1,0,16:36:13
2,30,16:36:13
3,29,16:36:14
4,31,16:36:15
5,30,16:36:15
6,30,16:36:16
7,31,16:36:17
8,30,16:36:17
9,30,16:36:18
10,30,16:36:19
11,29,16:36:19
12,31,16:36:20
13,30,16:36:21
14,29,16:36:21
15,31,16:36:22
16,29,16:36:23
17,30,16:36:23
18,31,16:36:24
19,30,16:36:25
20,28,16:36:25
21,30,16:36:26
22,29,16:36:27
23,30,16:36:28
24,29,16:36:28
25,28,16:36:29
26,28,16:36:30
27,28,16:36:30
28,30,16:36:31
29,28,16:36:32
30,29,16:36:32
31,29,16:36:33
32,30,16:36:34
33,28,16:36:35
34,27,16:36:35
35,32,16:36:36
36,30,16:36:37
37,27,16:36:37
38,32,16:36:38
39,30,16:36:39
40,29,16:36:39
41,28,16:36:40
42,29,16:36:41
43,27,16:36:41
44,29,16:36:42
45,27,16:36:43
46,28,16:36:44
47,29,16:36:44
48,29,16:36:45
49,28,16:36:46
50,28,16:36:46
51,31,16:36:47
52,27,16:36:48
53,29,16:36:48
54,27,16:36:49
55,30,16:36:50
56,29,16:36:50
57,29,16:36:51
58,30,16:36:52
59,30,16:36:52
60,30,16:36:53
61,30,16:36:54
62,30,16:36:54
63,30,16:36:55
64,31,16:36:56
65,29,16:36:56
66,30,16:36:57
67,30,16:36:58
68,30,16:36:58
69,30,16:36:59
70,29,16:37:00
71,31,16:37:00
72,31,16:37:01
73,30,16:37:02
74,30,16:37:02
75,31,16:37:03
76,30,16:37:04
77,29,16:37:04
78,31,16:37:05
79,30,16:37:06
80,30,16:37:06
81,30,16:37:07
82,30,16:37:08
83,30,16:37:08
84,30,16:37:09
85,30,16:37:10
86,30,16:37:11
87,28,16:37:11
88,31,16:37:12
89,30,16:37:12
90,30,16:37:13
91,29,16:37:14
92,31,16:37:14
93,30,16:37:15
94,29,16:37:16
95,31,16:37:16
96,30,16:37:17
97,30,16:37:18
98,30,16:37:18
99,30,16:37:19
100,28,16:37:20
101,29,16:37:21
102,29,16:37:21
103,27,16:37:22
104,28,16:37:23
105,29,16:37:23
106,28,16:37:24
107,30,16:37:25
108,27,16:37:26
109,30,16:37:26
110,28,16:37:27
111,27,16:37:28
112,29,16:37:28
113,32,16:37:29
114,28,16:37:30
115,29,16:37:30
116,28,16:37:31
117,28,16:37:32
118,27,16:37:33
119,29,16:37:33
120,29,16:37:34
121,30,16:37:35
122,28,16:37:35
123,29,16:37:36
124,30,16:37:37
